FirstName,LastName,BirthDate,ExperienceYears,TrainingLevel,PhoneNumber
'Holly','Johnston','1972-03-14',7,'chef','408-842-3409x216'
'Steven','Matthews','1967-09-15',15,'B cook','+1-372-471-0425x362'
'Andrew','Lee','1994-01-14',18,'sous chef','516.677.1435'
'Helen','Schultz','1991-05-24',1,'A cook','(305)497-9780x428'
'John','Ramirez','1989-10-13',1,'A cook','(666)901-6819x44960'
'Michelle','Park','1971-01-10',10,'A cook','690-707-9095'
'Eric','Smith','1997-08-04',19,'sous chef','+1-785-246-9822x2102'
'Matthew','Montoya','1998-11-06',15,'B cook','(420)597-6842'
'Benjamin','Molina','1987-08-12',8,'B cook','823.521.2997x12483'
'Claudia','Lopez','1989-11-16',25,'sous chef','860.666.7866x5301'
'Carlos','Harrison','1978-10-11',9,'sous chef','001-844-606-1382x660'
'Sean','Bautista','1975-10-04',21,'chef','304.582.4034'
'Lori','Andrade','1982-02-26',11,'B cook','(686)992-6549'
'Natalie','Horne','1967-01-29',1,'A cook','6119119928'
'Virginia','Perry','1977-03-05',22,'chef','+1-901-860-9020x48058'
'Tiffany','Wheeler','2001-05-11',3,'chef','269.983.0026x185'
'Calvin','Shah','1990-06-24',28,'sous chef','544.311.0871x299'
'Stacey','Martin','1969-05-10',8,'B cook','7766568924'
'Crystal','Smith','1990-01-20',18,'chef','977.683.7427x76398'
'Amber','Pollard','1965-10-27',28,'B cook','001-825-579-3959'
'Pamela','Clark','1994-11-16',20,'chef','373.400.5373x46990'
'Joseph','Daniels','1973-09-09',2,'sous chef','(466)975-3135x648'
'Donna','Rosales','1975-08-08',16,'A cook','935.310.4688'
'Andre','Haynes','1972-10-11',16,'A cook','(659)811-6647'
'Sierra','Wright','1967-01-03',14,'B cook','+1-951-748-2220'
'Steven','Johnson','1993-08-06',0,'A cook','789-481-4366x5032'
'Donald','Lloyd','1976-03-30',23,'sous chef','+1-290-508-4408x4882'
'Jose','Johnson','2004-05-06',27,'chef','(956)457-3476x776'
'Jonathan','Robinson','1971-03-13',12,'chef','001-982-486-8438'
'Joseph','Anderson','1971-01-13',9,'chef','905.307.1012x0425'
'Kaitlyn','Delacruz','1991-06-15',12,'A cook','001-618-692-2432x340'
'Robin','Matthews','1971-02-02',9,'sous chef','001-983-469-4239x95310'
'Kelsey','Rogers','1989-12-17',0,'chef','001-272-287-3734x80964'
'Frank','Roberts','2005-06-08',7,'B cook','860.789.8000x06725'
'Sarah','Anderson','1987-05-08',29,'B cook','399-771-8488x435'
'Brittany','Hughes','1978-06-02',8,'sous chef','846.522.8442'
'Steven','Heath','1999-01-16',13,'B cook','681-206-4153x635'
'Anne','Adams','1992-08-22',19,'chef','726.951.4289'
'Ashley','Trevino','1968-12-19',19,'chef','001-237-983-4652x84946'
'Anna','Watson','1965-02-12',17,'sous chef','+1-436-988-5479x7297'
'Mary','Hahn','1989-01-17',3,'sous chef','983-518-8957x69815'
'Jose','Nash','2003-10-10',23,'A cook','464.209.6672'
'David','Smith','2004-01-14',9,'sous chef','(581)832-9097x60943'
'David','Wolf','1967-01-09',2,'B cook','838-851-2412'
'Michele','Garcia','1968-06-30',26,'B cook','+1-678-442-2908'
'Megan','Marshall','2002-11-15',28,'B cook','2428862863'
'Steven','White','2004-05-27',9,'A cook','001-549-625-2462x08326'
'Barbara','Brown','1984-07-10',14,'sous chef','797-627-0194x54296'
'Samuel','Williams','1999-08-13',6,'A cook','699.450.5379x45810'
'Gregory','Randolph','1985-05-02',3,'B cook','211-255-5888'
'Anna','Bates','1988-11-16',6,'sous chef','+1-777-832-6013x02202'
'Michael','Johnson','1996-10-07',12,'chef','3122161801'
'Kelly','Kennedy','1997-02-26',16,'chef','(587)369-2197'
'Kayla','Sanchez','1972-08-03',26,'chef','875-919-6218'
'Jeremy','Wright','1997-06-05',3,'chef','468.726.0208x235'
'Matthew','Ortiz','1975-01-09',1,'A cook','732.377.5396x590'
'Stephanie','Williams','2001-08-11',25,'B cook','720-536-8737x74279'
'Michael','Wright','1980-12-21',15,'A cook','001-409-912-9696x326'
'Samuel','Carter','1982-12-10',24,'A cook','+1-364-622-7927'
'Brittany','Smith','2004-01-29',18,'B cook','001-742-837-5023x9734'
'Gordon','Harris','1993-07-27',25,'sous chef','(849)987-5880x04217'
'Jason','Molina','1996-08-02',29,'sous chef','2828151512'
'Jon','Mccullough','1977-06-11',25,'sous chef','9647667698'
'Michelle','Schneider','1997-07-16',25,'A cook','898.374.9092x568'
'Howard','Smith','1989-07-04',0,'B cook','493-412-6764x543'
'Kyle','Douglas','1979-02-14',19,'sous chef','(482)755-2059'
'Jennifer','Peck','1964-12-07',25,'chef','435-708-8148'
'Brian','Beard','2003-03-03',30,'sous chef','798-932-9315'
'Matthew','Massey','2001-03-20',4,'B cook','816.834.5406'
'Andrew','Anderson','2000-09-17',7,'sous chef','+1-374-758-1183x2221'
'Ashley','Johnson','1980-02-06',25,'chef','642-752-0846'
'Heather','Booth','1974-10-22',13,'B cook','001-517-744-0224x965'
'Steven','Mcgee','1975-12-29',28,'B cook','619.786.4598x433'
'Daryl','Lee','1966-09-06',12,'B cook','(719)550-0647'
'Amanda','Mejia','1970-08-28',24,'A cook','2475446929'
'Michael','Rodriguez','2005-10-11',24,'A cook','9299646597'
'Megan','Ward','1972-12-25',1,'sous chef','(763)235-0653'
'Allen','Ford','1965-09-14',15,'sous chef','+1-841-633-7652x1829'
'Barry','Newton','1985-04-28',7,'chef','(645)643-6418x5158'
'Donna','Callahan','1975-03-06',28,'B cook','255.325.5616'
'Angel','Davis','1980-04-28',13,'sous chef','(345)779-7416x9213'
'Susan','Jones','1984-12-29',28,'B cook','(923)831-2569x3825'
'Kaitlyn','Ware','1984-06-07',24,'A cook','001-373-337-4621x870'
'Jennifer','Odonnell','1978-06-12',26,'B cook','001-514-214-7976x6521'
'Philip','Shaffer','1975-03-12',9,'B cook','001-440-907-0959x581'
'Anthony','Burns','1965-09-05',29,'A cook','457-595-8140x6666'
'Nicole','Sherman','1975-12-07',20,'B cook','760.233.0343x65949'
'Nicole','Strickland','1995-06-29',14,'sous chef','(358)228-6792'
'Miranda','Gonzalez','2006-05-11',11,'chef','297.702.8150'
'Michael','Sullivan','1967-07-22',4,'A cook','001-488-241-1956x594'
'Tammy','Williams','1985-04-20',25,'A cook','677-726-9345x616'
'Evelyn','Rios','1976-02-27',25,'A cook','(611)567-9430x42373'
'Anthony','Boyd','2003-10-29',15,'chef','(494)379-5419x339'
'Andre','James','2001-06-23',17,'B cook','001-992-556-0348x8644'
'Desiree','Hoffman','1979-06-22',26,'A cook','365-505-1623'
'Cassandra','Vargas','1972-11-08',8,'sous chef','(564)541-4090x3475'
'Nicole','Edwards','2002-06-25',17,'A cook','001-343-352-0983'
'Jeffrey','Byrd','1965-06-29',25,'B cook','691.920.3402x171'
'Michael','Lewis','1967-12-22',14,'chef','+1-319-973-4201x723'
'Joshua','Brennan','1966-06-14',22,'A cook','001-435-660-8279x5706'
